Strain,Condition,Day,Raw,CFU/mL,tnt/cnt/no_growth,Replicate,Dilution
FSL R9-5400,MidLog,0,1.43E+02,4.29E+03,cnt,2,0
FSL R9-5502,MidLog,0,7.56E+03,2.27E+05,cnt,2,1
FSL R9-5344,MidLog,0,3.07E+02,9.21E+03,cnt,2,0
FSL R9-6232,MidLog,0,1.12E+03,3.36E+04,cnt,2,0
FSL R9-5272,MidLog,1,1.02E+02,3.06E+03,cnt,2,0
FSL R9-5400,MidLog,1,2.05E+02,6.15E+03,cnt,2,0
FSL R9-5502,MidLog,1,2.56E+02,7.68E+03,cnt,2,0
FSL R9-5344,MidLog,1,9.19E+01,2.76E+03,cnt,2,0
FSL R9-6232,MidLog,1,0.00E+00,,no_growth,2,0
FSL R9-5272,MidLog,3,1.38E+03,4.14E+04,cnt,2,0
FSL R9-5400,MidLog,3,3.18E+04,9.54E+05,cnt,2,1
FSL R9-5502,MidLog,3,1.17E+04,3.51E+05,cnt,2,0
FSL R9-5344,MidLog,3,,,tntc,2,1
FSL R9-6232,MidLog,3,2.14E+05,6.42E+06,cnt,2,1
FSL R9-5272,MidLog,4,0.00E+00,,no_growth,2,0
FSL R9-5400,MidLog,4,0.00E+00,,no_growth,2,0
FSL R9-5502,MidLog,4,1.39E+06,4.17E+07,cnt,2,1
FSL R9-5344,MidLog,4,1.88E+04,5.64E+05,cnt,2,1
FSL R9-6232,MidLog,4,1.84E+02,5.52E+03,cnt,2,0
FSL R9-5272,MidLog,7,2.51E+05,7.53E+06,cnt,2,1
